player_id;family_name;given_name;goal_keeper;defender;midfielder;forward;count_tournaments
P-08579;Al-Breik;Mohammed;0;1;0;0;1
P-05231;Al-Bulaihi;Ali;0;1;0;0;1
P-09837;Al-Buloushi;Abdulaziz;0;0;0;1;1
P-01258;Al-Buloushi;Abdullah;0;0;0;1;1
P-06167;Al-Dakhil;Faisal;0;0;0;1;1
P-06282;Al-Dawod;Saleh;0;1;0;0;1
P-03366;Al-Dawsari;Salem;0;0;1;0;1
P-09471;Al-Dosari;Abdullah;0;1;0;0;1
P-09480;Al-Faraj;Salman;0;0;1;0;1
P-07084;Al-Ghanim;Nassir;0;0;1;0;1
P-03557;Al-Ghesheyan;Fahad;0;0;0;1;1
P-02915;Al-Haddad;Abdulrahman;0;1;0;0;1
P-07593;Al-Haddad;Muayad;0;0;0;1;1
P-00025;Al-Harbi;Ibrahim;0;0;1;0;1
P-04969;Al-Harbi;Mansoor;0;1;0;0;1
P-09391;Al-Harthi;Mohsin;0;1;0;0;1
P-09727;Al-Harthi;Saad;0;0;0;1;1
P-02626;Al-Hashash;Sami;0;1;0;0;1
P-05225;Al-Helwah;Ibrahim;1;0;0;0;1
P-03274;Al-Houti;Saad;0;0;1;0;1
P-07894;Al-Janoubi;Abdulaziz;0;1;0;0;1
P-05558;Al-Jasem;Waleed;0;1;0;0;1
P-00541;Al-Jassim;Taisir;0;0;1;0;1
P-03607;Al-Jumaan;Abdullah;0;0;0;1;1
P-04959;Al-Khaibari;Abdullah;0;0;1;0;1
P-06268;Al-Khaibri;Abdulmalek;0;0;1;0;1
P-06195;Al-Khojali;Mohammed;1;0;0;0;1
P-00154;Al-Mayouf;Abdullah;1;0;0;0;1
P-03533;Al-Mogahwi;Housain;0;0;1;0;1
P-00596;Al-Montashari;Hamad;0;1;0;0;1
P-05438;Al-Mosailem;Yasser;1;0;0;0;1
P-07552;Al-Muwallad;Fahad;0;0;0;1;1
P-07471;Al-Owais;Mohammed;1;0;0;0;1
P-01126;Al-Qabendi;Jamal;0;1;0;0;1
P-00776;Al-Qadi;Naif;0;1;0;0;1
P-05687;Al-Qahtani;Yasser;0;0;0;1;1
P-07744;Al-Sahlawi;Mohammad;0;0;0;1;1
P-00932;Al-Shahrani;Yasser;0;1;0;0;1
P-00883;Al-Shehri;Fouzi;0;1;0;0;1
P-05463;Al-Shehri;Yahya;0;0;1;0;1
P-03780;Al-Shemmari;Hamoud;0;1;0;0;1
P-00586;Al-Suwayed;Yussef;0;0;1;0;1
P-08801;Al-Taifi;Yassir;0;1;0;0;1
P-08459;Al-Talyani;Adnan;0;0;0;1;1
P-02666;Al-Tarabulsi;Ahmed;1;0;0;0;1
P-03419;Al-Thagafi;Mansour;0;1;0;0;1
P-04962;Al-Thunayan;Yousuf;0;0;1;0;1
P-03511;Al-Waked;Abdullah;0;0;1;0;1
P-03991;Al-Yami;Al Hasan;0;0;0;1;1
P-08079;Alaoui;Ahmed;0;0;0;1;1
P-09475;Alaoui;Zakaria;1;0;0;0;1
P-00209;Albarracn;Ernesto;0;0;1;0;1
P-02917;Alberto;Carlos;0;1;0;0;1
P-07794;Alberto;Julio;0;1;0;0;1
P-08926;Albiston;Arthur;0;1;0;0;1
P-09121;Albornoz;Miiko;0;1;0;0;1
P-05855;Alborta;Mario;0;0;0;1;1
P-01132;Albrecht;Ernst;0;0;1;0;1
P-00944;Albrecht;Milan;0;0;0;1;1
P-07922;Albright;Chris;0;1;0;0;1
P-00959;Albu;Gheorghe;0;1;0;0;1
P-01056;Alcaraz;Antoln;0;1;0;0;1
P-01349;Alcaraz;Francisco;0;0;0;1;1
P-05612;Alcazar;Joseph;0;0;0;1;1
P-01678;Alcindo;not applicable;0;0;0;1;1
P-02429;Alejandrez;Juan Manuel;0;1;0;0;1
P-07919;Aleksandrov;Petar;0;0;0;1;1
P-08561;Alenemeh;Ahmad;0;1;0;0;1
P-06382;Alenichev;Dmitri;0;0;1;0;1
P-06236;Alexander-Arnold;Trent;0;1;0;0;1
P-02484;Alexandris;Alexis;0;0;0;1;1
P-02799;Alexanko;Jos Ramn;0;1;0;0;1
P-01134;Alexiou;Alexis;0;1;0;0;1
P-08058;Alexoudis;Alexis;0;0;0;1;1
P-02274;Alfaro;Mauricio;0;0;1;0;1
P-07159;Alfaro;Wardy;1;0;0;0;1
P-04450;Alfonso;not applicable;0;0;0;1;1
P-00257;Alfredo;not applicable;0;0;0;1;1
P-05229;Alfredo;not applicable;0;1;0;0;1
P-04621;Alfredo;not applicable;0;1;0;0;1
P-05881;Algaraaz;Vctor Celestino;0;0;0;1;1
P-00090;Ali;Jamal;0;0;1;0;1
P-08466;Alisson;not applicable;1;0;0;0;1
P-04181;Allahverdi;Javad;0;1;0;0;1
P-02965;Allan;Thomson;1;0;0;0;1
P-05595;Allawi;Karim;0;1;0;0;1
P-01903;Allawi;Khalil;0;1;0;0;1
P-06738;Allchurch;Ivor;0;0;0;1;1
P-05114;Allchurch;Len;0;0;1;0;1
P-05439;Allemandi;Luigi;0;1;0;0;1
P-02852;Allemann;Anton;0;0;1;0;1
P-08370;Allemann;Willy;0;1;0;0;1
P-05297;Allgwer;Karl;0;0;1;0;1
P-02492;Alli;Dele;0;0;1;0;1
P-03310;Allofs;Klaus;0;0;0;1;1
P-07235;Allofs;Thomas;0;0;0;1;1
P-00433;Almeida;Andr;0;1;0;0;1
P-09134;Almeida;not applicable;0;0;0;1;1
P-03388;Almgren;Erik;0;0;1;0;1
P-08669;Almirn;Sergio;0;0;0;1;1
P-05010;Almond;Bobby;0;1;0;0;1
P-02913;Alnoudji;Nicolas;0;0;1;0;1
P-04807;Aloisi;John;0;0;0;1;1
P-02549;Alonso;Faustino;0;0;0;1;1
P-05058;Alonso;Gabriel;0;1;0;0;1
P-01175;Alonso;Norberto;0;0;1;0;1
P-02567;Alonso;Periko;0;0;1;0;1
P-00917;Alonzo;Juan;0;0;0;1;1
P-09345;Alston;Adrian;0;0;0;1;1
P-08653;Alvarenga;Guido;0;0;1;0;1
P-01897;lvarez;dgar;0;0;1;0;1
P-02421;lvarez;Edson;0;1;0;0;1
P-09380;lvarez;Ricky;0;0;1;0;1
P-01493;lvarez Balanta;der;0;1;0;0;1
P-04844;lvarez Jimnez;Manuel;0;1;0;0;1
P-00739;lvaro;not applicable;0;1;0;0;1
P-06420;Alvbge;John;1;0;0;0;1
P-08772;Alzate;Anbal;0;1;0;0;1
P-08366;Amadei;Amedeo;0;0;0;1;1
P-00911;Amad;Lauro;0;0;0;1;1
P-08951;Amador;Rafael;0;1;0;0;1
P-05397;Amanallah;Azzedine;0;0;1;0;1
P-07526;Amancio;not applicable;0;0;0;1;1
P-04351;Amaral;not applicable;0;1;0;0;1
P-09951;Amarildo;not applicable;0;0;0;1;1
P-07891;Amarilla;Florencio;0;0;0;1;1
P-07825;Ambrz;Ignacio;0;1;0;0;1
